Week ending,Age Group,Number of Patients tested,Number of patients tested positive,Number of patients tested negative,% of patients testing positive,"Rate per 100,000 "
2020-05-31,Age 12 - 17,413,2,411,0.005,0.594
2020-06-07,Age 12 - 17,409,4,405,0.010,1.189
2020-06-14,Age 12 - 17,452,3,449,0.007,0.891
2020-06-21,Age 12 - 17,390,1,389,0.003,0.297
2020-06-28,Age 12 - 17,427,1,426,0.002,0.297
2020-07-05,Age 12 - 17,414,2,412,0.005,0.594
2020-07-12,Age 12 - 17,388,1,387,0.003,0.297
2020-07-19,Age 12 - 17,423,1,422,0.002,0.297
2020-07-26,Age 12 - 17,520,0,520,0.000,0.000
2020-08-02,Age 12 - 17,525,2,523,0.004,0.594
2020-08-09,Age 12 - 17,859,19,840,0.022,5.646
2020-08-16,Age 12 - 17,"1,121",32,"1,089",0.029,9.509
2020-08-23,Age 12 - 17,"3,082",21,"3,061",0.007,6.240
2020-08-30,Age 12 - 17,"8,586",31,"8,555",0.004,9.212
2020-09-06,Age 12 - 17,"8,572",58,"8,514",0.007,17.236
2020-09-13,Age 12 - 17,"3,608",38,"3,570",0.011,11.292
2020-02-09,All children aged 2 - 17,2,0,2,0.000,0.000
2020-02-16,All children aged 2 - 17,10,0,10,0.000,0.000
2020-02-23,All children aged 2 - 17,12,0,12,0.000,0.000
2020-03-01,All children aged 2 - 17,88,0,88,0.000,0.000
2020-03-08,All children aged 2 - 17,197,0,197,0.000,0.000
2020-03-15,All children aged 2 - 17,336,3,333,0.009,0.324
2020-03-22,All children aged 2 - 17,472,3,469,0.006,0.324
2020-03-29,All children aged 2 - 17,685,16,669,0.023,1.729
2020-04-05,All children aged 2 - 17,563,22,541,0.039,2.377
2020-04-12,All children aged 2 - 17,387,15,372,0.039,1.620
2020-04-19,All children aged 2 - 17,431,16,415,0.037,1.729
2020-04-26,All children aged 2 - 17,424,12,412,0.028,1.296
2020-05-03,All children aged 2 - 17,605,17,588,0.028,1.837
2020-05-10,All children aged 2 - 17,"1,093",29,"1,064",0.027,3.133
2020-05-17,All children aged 2 - 17,"1,162",21,"1,141",0.018,2.269
2020-05-24,All children aged 2 - 17,"1,317",13,"1,304",0.010,1.404
2020-05-31,All children aged 2 - 17,979,9,970,0.009,0.972
2020-06-07,All children aged 2 - 17,"1,015",5,"1,010",0.005,0.540
2020-06-14,All children aged 2 - 17,"1,087",5,"1,082",0.005,0.540
2020-06-21,All children aged 2 - 17,940,2,938,0.002,0.216
2020-06-28,All children aged 2 - 17,987,4,983,0.004,0.432
2020-07-05,All children aged 2 - 17,976,2,974,0.002,0.216
2020-07-12,All children aged 2 - 17,909,1,908,0.001,0.108
2020-07-19,All children aged 2 - 17,"1,015",3,"1,012",0.003,0.324
2020-07-26,All children aged 2 - 17,"1,254",6,"1,248",0.005,0.648
2020-08-02,All children aged 2 - 17,"1,467",7,"1,460",0.005,0.756
2020-08-09,All children aged 2 - 17,"2,226",29,"2,197",0.013,3.133
2020-08-16,All children aged 2 - 17,"3,604",44,"3,560",0.012,4.753
2020-08-23,All children aged 2 - 17,"17,159",51,"17,108",0.003,5.510
2020-08-30,All children aged 2 - 17,"34,155",50,"34,105",0.001,5.402
2020-09-06,All children aged 2 - 17,"19,397",101,"19,296",0.005,10.911
2020-09-13,All children aged 2 - 17,"7,067",68,"6,999",0.010,7.346
